Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
EPHB6	HEP	"EPH receptor B6"				"Evidence at transcript level"
EPHX1	EPHX	"Epoxide hydrolase 1"	P07099	"Aromatic hydrocarbons catabolism, Detoxification, Lipid metabolism"	Hydrolase	"Evidence at protein level"
EPHX2	"ABHD20, sEH"	"Epoxide hydrolase 2"	P34913	"Aromatic hydrocarbons catabolism, Detoxification, Lipid metabolism"	"Hydrolase, Multifunctional enzyme"	"Evidence at protein level"
EPHX3	"ABHD9, FLJ22408"	"Epoxide hydrolase 3"	Q9H6B9	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
EPHX4	"ABHD7, EH4, EPHXRP, FLJ90341"	"Epoxide hydrolase 4"	Q8IUS5		Hydrolase	"Evidence at protein level"
EPM2A	"LD, LDE"	"EPM2A glucan phosphatase, laforin"	O95278	"Autophagy, Carbohydrate metabolism, Glycogen metabolism"	"Hydrolase, Protein phosphatase"	"Evidence at protein level"
EPM2AIP1	"FLJ11207, KIAA0766"	"EPM2A interacting protein 1"	Q7L775			"Evidence at protein level"
EPN1		"Epsin 1"	Q9Y6I3	Endocytosis		"Evidence at protein level"
EPN2	"EHB21, KIAA1065"	"Epsin 2"	O95208	Endocytosis		"Evidence at protein level"
EPN3	"FLJ20778, MGC129899"	"Epsin 3"	Q9H201			"Evidence at protein level"
EPO	EP	Erythropoietin	P01588	"Erythrocyte maturation"	Hormone	"Evidence at protein level"
EPOP	"C17orf96, LOC100170841, PRR28"	"Elongin BC and polycomb repressive complex 2 associated protein"	A6NHQ4			"Evidence at protein level"
EPOR		"Erythropoietin receptor"	P19235		Receptor	"Evidence at protein level"
EPPIN	"CT71, dJ461P17.2, EPPIN1, EPPIN2, EPPIN3, SPINLW1, WAP7, WFDC7"	"Epididymal peptidase inhibitor"	O95925		"Antimicrobial, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
EPPIN-WFDC6	SPINLW1-WFDC6	"EPPIN-WFDC6 readthrough"	O95925		"Antimicrobial, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
EPPK1	EPIPL1	"Epiplakin 1"	P58107			"Evidence at protein level"
EPRS1	"EARS, EPRS, GLUPRORS, PARS, QARS, QPRS"	"Glutamyl-prolyl-tRNA synthetase 1"	P07814	"Protein biosynthesis, Translation regulation"	"Aminoacyl-tRNA synthetase, Ligase, Multifunctional enzyme, RNA-binding"	"Evidence at protein level"
EPS15	"AF-1P, MLLT5"	"Epidermal growth factor receptor pathway substrate 15"	P42566	"Endocytosis, Host-virus interaction, Protein transport, Transport"		"Evidence at protein level"
EPS15L1	eps15R	"Epidermal growth factor receptor pathway substrate 15 like 1"	Q9UBC2	Endocytosis		"Evidence at protein level"
EPS8		"Epidermal growth factor receptor pathway substrate 8"	Q12929		Actin-binding	"Evidence at protein level"
EPS8L1	"DRC3, FLJ20258, MGC23164, MGC4642"	"EPS8 like 1"	Q8TE68			"Evidence at protein level"
EPS8L2	"FLJ21935, FLJ22171, MGC3088"	"EPS8 like 2"	Q9H6S3			"Evidence at protein level"
EPS8L3	"FLJ21522, MGC16817"	"EPS8 like 3"	Q8TE67			"Evidence at protein level"
EPSTI1	"BRESI1, MGC29634"	"Epithelial stromal interaction 1"	Q96J88			"Evidence at protein level"
EPX	"EPO, EPP, EPX-PEN"	"Eosinophil peroxidase"	P11678	"Hydrogen peroxide"	"Oxidoreductase, Peroxidase"	"Evidence at protein level"
EPYC	"DSPG3, Pg-Lb, SLRR3B"	Epiphycan	Q99645			"Evidence at protein level"
EQTN	"AFAF, C9orf11, equatorin, SPACA8"	Equatorin	Q9NQ60			"Evidence at protein level"
ERAL1	HERA-B	"Era like 12S mitochondrial rRNA chaperone 1"	O75616	"Ribosome biogenesis"	"RNA-binding, rRNA-binding"	"Evidence at protein level"
ERAP1	"A-LAP, ARTS-1, ERAAP1, KIAA0525, PILS-AP"	"Endoplasmic reticulum aminopeptidase 1"	Q9NZ08	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ERAP2	"L-RAP, LRAP"	"Endoplasmic reticulum aminopeptidase 2"	Q6P179	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ERAS	"HRAS2, HRASP"	"ES cell expressed Ras"	Q7Z444		Hydrolase	"Evidence at protein level"
ERBB2	"c-ERB-2, c-ERB2, CD340, HER-2, HER2, MLN-19, NEU, NGL, p185(erbB2)"	"Erb-b2 receptor tyrosine kinase 2"	P04626	"Transcription, Transcription regulation"	"Activator, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ERBB3	"HER3, LCCS2"	"Erb-b2 receptor tyrosine kinase 3"	P21860		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ERBB4	"ALS19, HER4"	"Erb-b2 receptor tyrosine kinase 4"	Q15303	"Apoptosis, Lactation, Transcription, Transcription regulation"	"Activator, Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ERBIN	"ERBB2IP, LAP2"	"Erbb2 interacting protein"	Q96RT1			"Evidence at protein level"
ERC1	"CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2"	"ELKS/RAB6-interacting/CAST family member 1"	Q8IUD2	"Protein transport, Transport"		"Evidence at protein level"
ERC2	"CAST, CAST1, ELKSL, KIAA0378, SPBC110, Spc110"	"ELKS/RAB6-interacting/CAST family member 2"	O15083			"Evidence at protein level"
ERCC1	RAD10	"ERCC excision repair 1, endonuclease non-catalytic subunit"	P07992	"DNA damage, DNA repair"	DNA-binding	"Evidence at protein level"
ERCC2	"EM9, MAG, MGC102762, MGC126218, MGC126219, XPD"	"ERCC excision repair 2, TFIIH core complex helicase subunit"	P18074	"Chromosome partition, DNA damage, DNA repair, Host-virus interaction, Transcription, Transcription regulation"	"DNA-binding, Helicase, Hydrolase, Isomerase"	"Evidence at protein level"
ERCC3	"BTF2, RAD25, Ssl2, XPB"	"ERCC excision repair 3, TFIIH core complex helicase subunit"	P19447	"DNA damage, DNA repair, Host-virus interaction, Transcription, Transcription regulation"	"DNA-binding, Helicase, Hydrolase, Isomerase"	"Evidence at protein level"
ERCC4	"FANCQ, RAD1, XPF"	"ERCC excision repair 4, endonuclease catalytic subunit"	Q92889	"DNA damage, DNA repair"	"DNA-binding, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ERCC5	"ERCM2, XPGC"	"ERCC excision repair 5, endonuclease"	P28715	"DNA damage, DNA repair"	"DNA-binding, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ERCC6	"ARMD5, CKN2, CSB, RAD26"	"ERCC excision repair 6, chromatin remodeling factor"	"P0DP91, Q03468"	"DNA damage, DNA repair, Neurogenesis, Transcription, Transcription regulation"	"DNA-binding, Helicase, Hydrolase"	"Evidence at protein level"
ERCC6L	"FLJ20105, PICH, RAD26L"	"ERCC excision repair 6 like, spindle assembly checkpoint helicase"	Q2NKX8	"Cell cycle, Cell division, Mitosis"	"DNA-binding, Helicase, Hydrolase"	"Evidence at protein level"
ERCC6L2	"C9orf102, FLJ37706, HEBO, RAD26L"	"ERCC excision repair 6 like 2"	Q5T890	"DNA damage, DNA repair"	"DNA-binding, Helicase, Hydrolase"	"Evidence at protein level"
ERCC8	"CKN1, CSA"	"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"	Q13216	"DNA damage, DNA repair, Ubl conjugation pathway"		"Evidence at protein level"
EREG	ER	Epiregulin	O14944	"Angiogenesis, Differentiation"	"Developmental protein, Growth factor, Mitogen"	"Evidence at protein level"
ERF	"PE-2, PE2"	"ETS2 repressor factor"	P50548	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
ERFE	"C1QTNF15, CTRP15, FAM132B, FLJ37034"	Erythroferrone	Q4G0M1		Hormone	"Evidence at protein level"
ERFL	erfl1	"ETS repressor factor like"	A0A1W2PQ73	"Transcription, Transcription regulation"	DNA-binding	"Evidence at transcript level"
ERG	"erg-3, p55"	"ETS transcription factor ERG"	P11308	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
ERG28	"C14orf1, NET51"	"Ergosterol biosynthesis 28 homolog"	Q9UKR5	"Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"		"Evidence at protein level"
ERGIC1	"ERGIC-32, ERGIC32, KIAA1181, NET24"	"Endoplasmic reticulum-golgi intermediate compartment 1"	Q969X5	"ER-Golgi transport, Transport"		"Evidence at protein level"
ERGIC2	"Erv41, PTX1"	"ERGIC and golgi 2"	Q96RQ1	"ER-Golgi transport, Transport"		"Evidence at protein level"
ERGIC3	"C20orf47, CGI-54, Erv46, NY-BR-84, PRO0989, SDBCAG84"	"ERGIC and golgi 3"	Q9Y282	"ER-Golgi transport, Transport"		"Evidence at protein level"
ERH	DROER	"ERH mRNA splicing and mitosis factor"	P84090	"Cell cycle"		"Evidence at protein level"
ERI1	"3'HEXO, THEX1"	"Exoribonuclease 1"	Q8IV48	"RNA-mediated gene silencing, rRNA processing"	"Exonuclease, Hydrolase, Nuclease, RNA-binding"	"Evidence at protein level"
ERI2	"EXOD1, KIAA1504, MGC16943, ZGRF5"	"ERI1 exoribonuclease family member 2"	A8K979		"Exonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ERI3	"FLJ22943, PINT1, PRNPIP"	"ERI1 exoribonuclease family member 3"	O43414		"Exonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ERICH1		"Glutamate rich 1"	Q86X53			"Evidence at protein level"
ERICH2		"Glutamate rich 2"	A1L162			"Evidence at protein level"
ERICH3	"C1orf173, DKFZp547I048, RP11-653A5.1"	"Glutamate rich 3"	Q5RHP9			"Evidence at protein level"
ERICH4	"C19orf69, LOC100170765"	"Glutamate rich 4"	A6NGS2			"Evidence at protein level"
ERICH5	"C8orf47, FLJ39553"	"Glutamate rich 5"	Q6P6B1			"Evidence at protein level"
ERICH6	"C3orf44, ERICH6A, FAM194A, MGC39662"	"Glutamate rich 6"	Q7L0X2			"Evidence at protein level"
ERICH6B	"FAM194B, FLJ32682"	"Glutamate rich 6B"	Q5W0A0			"Evidence at protein level"
ERLEC1	"C2orf30, CL25084, ERLECTIN, XTP3-B, XTP3TPB"	"Endoplasmic reticulum lectin 1"	Q96DZ1			"Evidence at protein level"
ERLIN1	"C10orf69, Erlin-1, KE04, SPFH1, SPG62"	"ER lipid raft associated 1"	O75477	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"		"Evidence at protein level"
ERLIN2	"C8orf2, Erlin-2, NET32, SPFH2, SPG18"	"ER lipid raft associated 2"	O94905	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"		"Evidence at protein level"
ERMAP	"BTN5, RD, SC"	"Erythroblast membrane associated protein (Scianna blood group)"	Q96PL5		"Blood group antigen"	"Evidence at protein level"
ERMARD	"C6orf70, dJ266L20.3, FLJ11152"	"ER membrane associated RNA degradation"	Q5T6L9		"Developmental protein"	"Evidence at protein level"
ERMN	"ERMIN, JN, KIAA1189"	Ermin	Q8TAM6		Actin-binding	"Evidence at protein level"
ERMP1	"FLJ23309, FXNA, KIAA1815"	"Endoplasmic reticulum metallopeptidase 1"	Q7Z2K6		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ERN1	"IRE1, IRE1P"	"Endoplasmic reticulum to nucleus signaling 1"	O75460	"Apoptosis, Transcription, Transcription regulation, Unfolded protein response"	"Hydrolase, Kinase, Multifunctional enzyme, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ERN2	IRE1b	"Endoplasmic reticulum to nucleus signaling 2"	Q76MJ5	"Apoptosis, Transcription, Transcription regulation"	"Hydrolase, Kinase, Multifunctional enzyme, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ERO1A	"ERO1-alpha, Ero1alpha, ERO1L"	"Endoplasmic reticulum oxidoreductase 1 alpha"	Q96HE7	"Apoptosis, Electron transport, Transport"	Oxidoreductase	"Evidence at protein level"
ERO1B	"ERO1-L(beta), Ero1beta, ERO1LB"	"Endoplasmic reticulum oxidoreductase 1 beta"	Q86YB8	"Electron transport, Transport"	Oxidoreductase	"Evidence at protein level"
ERP27	"C12orf46, FLJ32115, PDIA8"	"Endoplasmic reticulum protein 27"	Q96DN0	"Unfolded protein response"		"Evidence at protein level"
ERP29	"C12orf8, ERp28, ERp31, PDI-DB, PDIA9"	"Endoplasmic reticulum protein 29"	P30040			"Evidence at protein level"
ERP44	"KIAA0573, PDIA10, TXNDC4"	"Endoplasmic reticulum protein 44"	Q9BS26	"Stress response"	Chaperone	"Evidence at protein level"
ERRFI1	"GENE-33, MIG-6, RALT"	"ERBB receptor feedback inhibitor 1"	Q9UJM3			"Evidence at protein level"
ERV3-1	"envR, ERV-R, ERV3, H-PLK, HERV-R"	"Endogenous retrovirus group 3 member 1, envelope"	Q14264			"Evidence at protein level"
ERVFRD-1	"envFRD, ERVFRDE1, HERV-FRD, HERV-W/FRD, syncytin-2"	"Endogenous retrovirus group FRD member 1, envelope"	P60508			"Evidence at protein level"
ERVH48-1	"C21orf105, NDUFV3-AS1, SUPYN"	"Endogenous retrovirus group 48 member 1"	M5A8F1			"Evidence at protein level"
ERVK3-1	HERV-K(HML6-1)	"Endogenous retrovirus group K3 member 1"				"Evidence at transcript level"
ERVMER34-1	envMER34	"Endogenous retrovirus group MER34 member 1, envelope"	Q9H9K5			"Evidence at protein level"
ERVV-1	"ENVV1, FLJ32214, HERV-V1"	"Endogenous retrovirus group V member 1, envelope"	B6SEH8			"Evidence at transcript level"
ERVV-2	ENVV2	"Endogenous retrovirus group V member 2, envelope"	B6SEH9			"Evidence at protein level"
ERVW-1	"envW, ERVWE1, HERV-7q, HERV-W, HERV-W-ENV, HERVW"	"Endogenous retrovirus group W member 1, envelope"	Q9UQF0			"Evidence at protein level"
ESAM	W117m	"Endothelial cell adhesion molecule"	Q96AP7	"Cell adhesion"		"Evidence at protein level"
ESCO1	"EFO1, ESO1, KIAA1911"	"Establishment of sister chromatid cohesion N-acetyltransferase 1"	Q5FWF5	"Cell cycle"	"Acyltransferase, Transferase"	"Evidence at protein level"
ESCO2	"EFO2, RBS"	"Establishment of sister chromatid cohesion N-acetyltransferase 2"	Q56NI9	"Cell cycle"	"Acyltransferase, Transferase"	"Evidence at protein level"
ESD		"Esterase D"	P10768		"Hydrolase, Serine esterase"	"Evidence at protein level"
ESF1	"bA526K24.1, C20orf6"	"ESF1 nucleolar pre-rRNA processing protein homolog"	Q9H501	"Transcription, Transcription regulation"		"Evidence at protein level"
ESM1		"Endothelial cell specific molecule 1"	Q9NQ30	Angiogenesis		"Evidence at protein level"
ESPL1	"ESP1, KIAA0165, SEPA"	"Extra spindle pole bodies like 1, separase"	Q14674	"Chromosome partition"	"Hydrolase, Protease, Thiol protease"	"Evidence at protein level"
ESPN	DFNB36	Espin	B1AK53	Hearing	Actin-binding	"Evidence at protein level"
ESPNL	FLJ42568	"Espin like"	Q6ZVH7	Hearing	Actin-binding	"Evidence at protein level"
ESR1	"ER-alpha, Era, ESR, NR3A1"	"Estrogen receptor 1"	P03372	"Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor"	"Evidence at protein level"
ESR2	"ER-beta, Erb, NR3A2"	"Estrogen receptor 2"	Q92731	"Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor"	"Evidence at protein level"
ESRP1	"FLJ20171, RBM35A"	"Epithelial splicing regulatory protein 1"	Q6NXG1	"mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"
ESRP2	"FLJ21918, RBM35B"	"Epithelial splicing regulatory protein 2"	Q9H6T0	"mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"
ESRRA	"ERR1, ERRa, ERRalpha, ESRL1, NR3B1"	"Estrogen related receptor alpha"	P11474	"Transcription, Transcription regulation"	"DNA-binding, Receptor"	"Evidence at protein level"
ESRRB	"DFNB35, ERR2, ERRb, ERRbeta, ESRL2, NR3B2"	"Estrogen related receptor beta"	O95718	"Transcription, Transcription regulation"	"DNA-binding, Receptor"	"Evidence at protein level"
ESRRG	"ERR-gamma, ERRg, NR3B3"	"Estrogen related receptor gamma"	P62508	"Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor"	"Evidence at protein level"
ESS2	"bis1, DGCR13, DGCR14, DGS-H, DGSI, ES2, Es2el, ESS-2"	"Ess-2 splicing factor homolog"	Q96DF8	"mRNA processing, mRNA splicing"		"Evidence at protein level"
ESX1	"ESX1L, ESXR1"	"ESX homeobox 1"	Q8N693	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
ESYT1	"FAM62A, KIAA0747, MBC2"	"Extended synaptotagmin 1"	Q9BSJ8	"Lipid transport, Transport"		"Evidence at protein level"
ESYT2	"CHR2SYT, FAM62B, KIAA1228"	"Extended synaptotagmin 2"	A0FGR8	"Endocytosis, Lipid transport, Transport"		"Evidence at protein level"
ESYT3	"CHR3SYT, FAM62C"	"Extended synaptotagmin 3"	A0FGR9	"Lipid transport, Transport"		"Evidence at protein level"
