Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
TEKT1		"Tektin 1"	Q969V4			"Evidence at protein level"
TEKT2	TEKTB1	"Tektin 2"	Q9UIF3	"Cilium biogenesis/degradation"		"Evidence at protein level"
TEKT3	FLJ32828	"Tektin 3"	Q9BXF9			"Evidence at protein level"
TEKT4	MGC27019	"Tektin 4"	Q8WW24	"Cilium biogenesis/degradation"		"Evidence at protein level"
TEKT5	"CT149, FLJ32871"	"Tektin 5"	Q96M29			"Evidence at protein level"
TEKTIP1	"C19orf71, LOC100128569"	"Tektin bundle interacting protein 1"	A6NCJ1			"Evidence at protein level"
TELO2	"hCLK2, KIAA0683, TEL2"	"Telomere maintenance 2"	Q9Y4R8			"Evidence at protein level"
TEN1	"C17orf106, FLJ39785"	"TEN1 subunit of CST complex"	Q86WV5		DNA-binding	"Evidence at protein level"
TENM1	"ODZ1, ODZ3, TEN-M1, TEN1, TNM"	"Teneurin transmembrane protein 1"	Q9UKZ4	"Stress response, Transcription, Transcription regulation"	"Neuropeptide, Repressor"	"Evidence at protein level"
TENM2	"KIAA1127, ODZ2, Ten-M2, TEN2"	"Teneurin transmembrane protein 2"	Q9NT68	"Cell adhesion, Transcription, Transcription regulation"	Repressor	"Evidence at protein level"
TENM3	"KIAA1455, ODZ3, Ten-M3, TEN3"	"Teneurin transmembrane protein 3"	Q9P273	"Cell adhesion, Differentiation"		"Evidence at protein level"
TENM4	"DOC4, KIAA1302, ODZ4, Ten-M4, TEN4"	"Teneurin transmembrane protein 4"	Q6N022	Differentiation	"Developmental protein"	"Evidence at protein level"
TENT2	"FLJ38499, GLD2, PAPD4, TUT2"	"Terminal nucleotidyltransferase 2"	Q6PIY7	"mRNA processing"	Transferase	"Evidence at protein level"
